,feature,importance
10,pm10,0.4613485240618419
9,pm2_5,0.33261000568913407
6,no2,0.05450726988614264
4,clouds,0.03685651560852098
7,o3,0.032448427376149384
2,wind_speed,0.027694649232005868
5,co,0.02005043104682605
15,temperature_rolling_mean_6h,0.00937970767498795
3,pressure,0.008755426913388577
8,so2,0.007264188661282733
1,humidity,0.006496323884367874
0,temperature,0.0025224320720224924
16,humidity_rolling_mean_6h,6.609789332944597e-05
12,day_of_week,0.0
13,month,0.0
14,is_weekend,0.0
11,hour,0.0
17,aqi_lag_1h,0.0
18,aqi_lag_3h,0.0
19,aqi_lag_6h,0.0
